Region,Store,Category,Product,Month,Units Sold,Unit Price,Unit Cost,Revenue,Cost,Profit
Northeast,Boston,Beauty & Personal Care,Electric Toothbrush,2025-08-01,19,44.99,20.74,854.81,394.06,460.75
Northeast,Boston,Beauty & Personal Care,Facial Cleanser,2025-08-01,21,14.99,5.64,314.79,118.44,196.35
Northeast,Boston,Beauty & Personal Care,Hair Dryer,2025-08-01,22,39.99,16.71,879.78,367.62,512.16
Northeast,Boston,Beauty & Personal Care,Moisturizer,2025-08-01,12,18.99,7.58,227.88,90.96,136.92
Northeast,Boston,Beauty & Personal Care,Perfume Set,2025-08-01,21,42.99,16.02,902.79,336.42,566.37
Northeast,Boston,Electronics,Bluetooth Speaker,2025-08-01,19,44.99,27.97,854.81,531.43,323.38
Northeast,Boston,Electronics,Portable Charger,2025-08-01,13,34.99,21.73,454.87,282.49,172.38
Northeast,Boston,Electronics,Smartwatch,2025-08-01,18,119.99,80.79,2159.82,1454.22,705.6
Northeast,Boston,Electronics,Tablet Stand,2025-08-01,18,24.99,15.42,449.82,277.56,172.26
Northeast,Boston,Electronics,Wireless Earbuds,2025-08-01,25,59.99,38.55,1499.75,963.75,536.0
Northeast,Boston,Home & Kitchen,Coffee Maker,2025-08-01,21,49.99,36.83,1049.79,773.43,276.36
Northeast,Boston,Home & Kitchen,LED Desk Lamp,2025-08-01,14,27.99,19.43,391.86,272.02,119.84
Northeast,Boston,Home & Kitchen,Non-Stick Pan Set,2025-08-01,14,64.99,45.06,909.86,630.84,279.02
Northeast,Boston,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,8,22.99,16.5,183.92,132.0,51.92
Northeast,Boston,Home & Kitchen,Throw Blanket,2025-08-01,19,29.99,20.78,569.81,394.82,174.99
Northeast,Boston,Sports & Outdoors,Camping Tent,2025-08-01,13,129.99,75.09,1689.87,976.17,713.7
Northeast,Boston,Sports & Outdoors,Hiking Backpack,2025-08-01,18,74.99,40.52,1349.82,729.36,620.46
Northeast,Boston,Sports & Outdoors,Resistance Bands,2025-08-01,23,19.99,9.55,459.77,219.65,240.12
Northeast,Boston,Sports & Outdoors,Water Bottle,2025-08-01,21,16.99,8.66,356.79,181.86,174.93
Northeast,Boston,Sports & Outdoors,Yoga Mat,2025-08-01,26,24.99,13.36,649.74,347.36,302.38
Northeast,New York,Apparel,Denim Jacket,2025-08-01,9,69.99,33.53,629.91,301.77,328.14
Northeast,New York,Apparel,Men's T-Shirt,2025-08-01,18,19.99,9.02,359.82,162.36,197.46
Northeast,New York,Apparel,Running Shoes,2025-08-01,12,79.99,39.69,959.88,476.28,483.6
Northeast,New York,Apparel,Women's Leggings,2025-08-01,15,34.99,14.72,524.85,220.8,304.05
Northeast,New York,Apparel,Wool Sweater,2025-08-01,15,54.99,24.69,824.85,370.35,454.5
Northeast,New York,Beauty & Personal Care,Electric Toothbrush,2025-08-01,12,44.99,20.36,539.88,244.32,295.56
Northeast,New York,Beauty & Personal Care,Facial Cleanser,2025-08-01,11,14.99,5.7,164.89,62.7,102.19
Northeast,New York,Beauty & Personal Care,Hair Dryer,2025-08-01,5,39.99,16.99,199.95,84.95,115.0
Northeast,New York,Beauty & Personal Care,Moisturizer,2025-08-01,14,18.99,7.41,265.86,103.74,162.12
Northeast,New York,Beauty & Personal Care,Perfume Set,2025-08-01,11,42.99,15.55,472.89,171.05,301.84
Northeast,New York,Electronics,Bluetooth Speaker,2025-08-01,10,44.99,27.18,449.9,271.8,178.1
Northeast,New York,Electronics,Portable Charger,2025-08-01,19,34.99,22.97,664.81,436.43,228.38
Northeast,New York,Electronics,Smartwatch,2025-08-01,16,119.99,82.47,1919.84,1319.52,600.32
Northeast,New York,Electronics,Tablet Stand,2025-08-01,9,24.99,14.6,224.91,131.4,93.51
Northeast,New York,Electronics,Wireless Earbuds,2025-08-01,12,59.99,38.85,719.88,466.2,253.68
Northeast,New York,Home & Kitchen,Coffee Maker,2025-08-01,10,49.99,36.15,499.9,361.5,138.4
Northeast,New York,Home & Kitchen,LED Desk Lamp,2025-08-01,9,27.99,20.36,251.91,183.24,68.67
Northeast,New York,Home & Kitchen,Non-Stick Pan Set,2025-08-01,14,64.99,45.09,909.86,631.26,278.6
Northeast,New York,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,11,22.99,16.7,252.89,183.7,69.19
Northeast,New York,Home & Kitchen,Throw Blanket,2025-08-01,15,29.99,20.34,449.85,305.1,144.75
Northeast,New York,Sports & Outdoors,Camping Tent,2025-08-01,11,129.99,74.69,1429.89,821.59,608.3
Northeast,New York,Sports & Outdoors,Hiking Backpack,2025-08-01,14,74.99,41.15,1049.86,576.1,473.76
Northeast,New York,Sports & Outdoors,Resistance Bands,2025-08-01,16,19.99,9.75,319.84,156.0,163.84
Northeast,New York,Sports & Outdoors,Water Bottle,2025-08-01,11,16.99,8.32,186.89,91.52,95.37
Northeast,New York,Sports & Outdoors,Yoga Mat,2025-08-01,12,24.99,13.18,299.88,158.16,141.72
Southeast,Atlanta,Apparel,Denim Jacket,2025-08-01,13,69.99,32.81,909.87,426.53,483.34
Southeast,Atlanta,Apparel,Men's T-Shirt,2025-08-01,14,19.99,8.76,279.86,122.64,157.22
Southeast,Atlanta,Apparel,Running Shoes,2025-08-01,12,79.99,39.64,959.88,475.68,484.2
Southeast,Atlanta,Apparel,Women's Leggings,2025-08-01,20,34.99,14.45,699.8,289.0,410.8
Southeast,Atlanta,Apparel,Wool Sweater,2025-08-01,12,54.99,24.76,659.88,297.12,362.76
Southeast,Atlanta,Beauty & Personal Care,Electric Toothbrush,2025-08-01,12,44.99,20.6,539.88,247.2,292.68
Southeast,Atlanta,Beauty & Personal Care,Facial Cleanser,2025-08-01,14,14.99,5.8,209.86,81.2,128.66
Southeast,Atlanta,Beauty & Personal Care,Hair Dryer,2025-08-01,21,39.99,16.82,839.79,353.22,486.57
Southeast,Atlanta,Beauty & Personal Care,Moisturizer,2025-08-01,5,18.99,7.4,94.95,37.0,57.95
Southeast,Atlanta,Beauty & Personal Care,Perfume Set,2025-08-01,8,42.99,15.61,343.92,124.88,219.04
Southeast,Atlanta,Electronics,Bluetooth Speaker,2025-08-01,16,44.99,28.62,719.84,457.92,261.92
Southeast,Atlanta,Electronics,Portable Charger,2025-08-01,12,34.99,22.39,419.88,268.68,151.2
Southeast,Atlanta,Electronics,Smartwatch,2025-08-01,13,119.99,83.98,1559.87,1091.74,468.13
Southeast,Atlanta,Electronics,Tablet Stand,2025-08-01,16,24.99,14.85,399.84,237.6,162.24
Southeast,Atlanta,Electronics,Wireless Earbuds,2025-08-01,8,59.99,38.43,479.92,307.44,172.48
Southeast,Atlanta,Home & Kitchen,Coffee Maker,2025-08-01,23,49.99,35.16,1149.77,808.68,341.09
Southeast,Atlanta,Home & Kitchen,LED Desk Lamp,2025-08-01,14,27.99,19.83,391.86,277.62,114.24
Southeast,Atlanta,Home & Kitchen,Non-Stick Pan Set,2025-08-01,7,64.99,45.4,454.93,317.8,137.13
Southeast,Atlanta,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,6,22.99,17.05,137.94,102.3,35.64
Southeast,Atlanta,Home & Kitchen,Throw Blanket,2025-08-01,12,29.99,19.95,359.88,239.4,120.48
Southeast,Atlanta,Sports & Outdoors,Camping Tent,2025-08-01,13,129.99,75.86,1689.87,986.18,703.69
Southeast,Atlanta,Sports & Outdoors,Hiking Backpack,2025-08-01,13,74.99,41.75,974.87,542.75,432.12
Southeast,Atlanta,Sports & Outdoors,Resistance Bands,2025-08-01,15,19.99,9.51,299.85,142.65,157.2
Southeast,Atlanta,Sports & Outdoors,Water Bottle,2025-08-01,10,16.99,8.74,169.9,87.4,82.5
Southeast,Atlanta,Sports & Outdoors,Yoga Mat,2025-08-01,15,24.99,13.33,374.85,199.95,174.9
Southeast,Miami,Apparel,Denim Jacket,2025-08-01,25,69.99,34.19,1749.75,854.75,895.0
Southeast,Miami,Apparel,Men's T-Shirt,2025-08-01,24,19.99,8.98,479.76,215.52,264.24
Southeast,Miami,Apparel,Running Shoes,2025-08-01,25,79.99,40.93,1999.75,1023.25,976.5
Southeast,Miami,Apparel,Women's Leggings,2025-08-01,21,34.99,15.09,734.79,316.89,417.9
Southeast,Miami,Apparel,Wool Sweater,2025-08-01,33,54.99,23.68,1814.67,781.44,1033.23
Southeast,Miami,Beauty & Personal Care,Electric Toothbrush,2025-08-01,21,44.99,19.7,944.79,413.7,531.09
Southeast,Miami,Beauty & Personal Care,Facial Cleanser,2025-08-01,22,14.99,5.75,329.78,126.5,203.28
Southeast,Miami,Beauty & Personal Care,Hair Dryer,2025-08-01,12,39.99,17.05,479.88,204.6,275.28
Southeast,Miami,Beauty & Personal Care,Moisturizer,2025-08-01,19,18.99,7.61,360.81,144.59,216.22
Southeast,Miami,Beauty & Personal Care,Perfume Set,2025-08-01,24,42.99,15.61,1031.76,374.64,657.12
Southeast,Miami,Electronics,Bluetooth Speaker,2025-08-01,22,44.99,28.19,989.78,620.18,369.6
Southeast,Miami,Electronics,Portable Charger,2025-08-01,22,34.99,22.09,769.78,485.98,283.8
Southeast,Miami,Electronics,Smartwatch,2025-08-01,19,119.99,83.92,2279.81,1594.48,685.33
Southeast,Miami,Electronics,Tablet Stand,2025-08-01,24,24.99,15.04,599.76,360.96,238.8
Southeast,Miami,Electronics,Wireless Earbuds,2025-08-01,22,59.99,39.45,1319.78,867.9,451.88
Southeast,Miami,Home & Kitchen,Coffee Maker,2025-08-01,22,49.99,35.32,1099.78,777.04,322.74
Southeast,Miami,Home & Kitchen,LED Desk Lamp,2025-08-01,16,27.99,19.4,447.84,310.4,137.44
Southeast,Miami,Home & Kitchen,Non-Stick Pan Set,2025-08-01,24,64.99,44.28,1559.76,1062.72,497.04
Southeast,Miami,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,25,22.99,16.95,574.75,423.75,151.0
Southeast,Miami,Home & Kitchen,Throw Blanket,2025-08-01,13,29.99,20.41,389.87,265.33,124.54
Southeast,Miami,Sports & Outdoors,Camping Tent,2025-08-01,15,129.99,74.34,1949.85,1115.1,834.75
Southeast,Miami,Sports & Outdoors,Hiking Backpack,2025-08-01,24,74.99,41.43,1799.76,994.32,805.44
Southeast,Miami,Sports & Outdoors,Resistance Bands,2025-08-01,25,19.99,9.31,499.75,232.75,267.0
Southeast,Miami,Sports & Outdoors,Water Bottle,2025-08-01,30,16.99,8.6,509.7,258.0,251.7
Southeast,Miami,Sports & Outdoors,Yoga Mat,2025-08-01,28,24.99,12.69,699.72,355.32,344.4
Southwest,Dallas,Apparel,Denim Jacket,2025-08-01,12,69.99,33.21,839.88,398.52,441.36
Southwest,Dallas,Apparel,Men's T-Shirt,2025-08-01,16,19.99,9.14,319.84,146.24,173.6
Southwest,Dallas,Apparel,Running Shoes,2025-08-01,16,79.99,39.14,1279.84,626.24,653.6
Southwest,Dallas,Apparel,Women's Leggings,2025-08-01,18,34.99,14.28,629.82,257.04,372.78
Southwest,Dallas,Apparel,Wool Sweater,2025-08-01,13,54.99,24.44,714.87,317.72,397.15
Southwest,Dallas,Beauty & Personal Care,Electric Toothbrush,2025-08-01,9,44.99,19.81,404.91,178.29,226.62
Southwest,Dallas,Beauty & Personal Care,Facial Cleanser,2025-08-01,8,14.99,5.86,119.92,46.88,73.04
Southwest,Dallas,Beauty & Personal Care,Hair Dryer,2025-08-01,13,39.99,17.2,519.87,223.6,296.27
Southwest,Dallas,Beauty & Personal Care,Moisturizer,2025-08-01,9,18.99,7.65,170.91,68.85,102.06
Southwest,Dallas,Beauty & Personal Care,Perfume Set,2025-08-01,17,42.99,15.52,730.83,263.84,466.99
Southwest,Dallas,Electronics,Bluetooth Speaker,2025-08-01,14,44.99,28.06,629.86,392.84,237.02
Southwest,Dallas,Electronics,Portable Charger,2025-08-01,16,34.99,22.44,559.84,359.04,200.8
Southwest,Dallas,Electronics,Smartwatch,2025-08-01,17,119.99,81.44,2039.83,1384.48,655.35
Southwest,Dallas,Electronics,Tablet Stand,2025-08-01,14,24.99,14.75,349.86,206.5,143.36
Southwest,Dallas,Electronics,Wireless Earbuds,2025-08-01,17,59.99,38.78,1019.83,659.26,360.57
Southwest,Dallas,Home & Kitchen,Coffee Maker,2025-08-01,15,49.99,36.96,749.85,554.4,195.45
Southwest,Dallas,Home & Kitchen,LED Desk Lamp,2025-08-01,12,27.99,19.8,335.88,237.6,98.28
Southwest,Dallas,Home & Kitchen,Non-Stick Pan Set,2025-08-01,16,64.99,45.64,1039.84,730.24,309.6
Southwest,Dallas,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,11,22.99,16.65,252.89,183.15,69.74
Southwest,Dallas,Home & Kitchen,Throw Blanket,2025-08-01,11,29.99,20.02,329.89,220.22,109.67
Southwest,Dallas,Sports & Outdoors,Camping Tent,2025-08-01,2,129.99,73.42,259.98,146.84,113.14
Southwest,Dallas,Sports & Outdoors,Hiking Backpack,2025-08-01,5,74.99,41.78,374.95,208.9,166.05
Southwest,Dallas,Sports & Outdoors,Resistance Bands,2025-08-01,4,19.99,9.49,79.96,37.96,42.0
Southwest,Dallas,Sports & Outdoors,Water Bottle,2025-08-01,8,16.99,8.47,135.92,67.76,68.16
Southwest,Dallas,Sports & Outdoors,Yoga Mat,2025-08-01,4,24.99,12.77,99.96,51.08,48.88
West,Los Angeles,Apparel,Denim Jacket,2025-08-01,11,69.99,33.58,769.89,369.38,400.51
West,Los Angeles,Apparel,Men's T-Shirt,2025-08-01,11,19.99,8.94,219.89,98.34,121.55
West,Los Angeles,Apparel,Running Shoes,2025-08-01,17,79.99,38.81,1359.83,659.77,700.06
West,Los Angeles,Apparel,Women's Leggings,2025-08-01,23,34.99,14.31,804.77,329.13,475.64
West,Los Angeles,Apparel,Wool Sweater,2025-08-01,10,54.99,24.06,549.9,240.6,309.3
West,Los Angeles,Beauty & Personal Care,Electric Toothbrush,2025-08-01,14,44.99,20.78,629.86,290.92,338.94
West,Los Angeles,Beauty & Personal Care,Facial Cleanser,2025-08-01,17,14.99,5.81,254.83,98.77,156.06
West,Los Angeles,Beauty & Personal Care,Hair Dryer,2025-08-01,20,39.99,17.2,799.8,344.0,455.8
West,Los Angeles,Beauty & Personal Care,Moisturizer,2025-08-01,15,18.99,7.49,284.85,112.35,172.5
West,Los Angeles,Beauty & Personal Care,Perfume Set,2025-08-01,20,42.99,16.27,859.8,325.4,534.4
West,Los Angeles,Electronics,Bluetooth Speaker,2025-08-01,15,44.99,28.47,674.85,427.05,247.8
West,Los Angeles,Electronics,Portable Charger,2025-08-01,19,34.99,22.41,664.81,425.79,239.02
West,Los Angeles,Electronics,Smartwatch,2025-08-01,11,119.99,83.98,1319.89,923.78,396.11
West,Los Angeles,Electronics,Tablet Stand,2025-08-01,15,24.99,14.89,374.85,223.35,151.5
West,Los Angeles,Electronics,Wireless Earbuds,2025-08-01,14,59.99,38.57,839.86,539.98,299.88
West,Los Angeles,Home & Kitchen,Coffee Maker,2025-08-01,18,49.99,35.0,899.82,630.0,269.82
West,Los Angeles,Home & Kitchen,LED Desk Lamp,2025-08-01,17,27.99,19.42,475.83,330.14,145.69
West,Los Angeles,Home & Kitchen,Non-Stick Pan Set,2025-08-01,16,64.99,45.98,1039.84,735.68,304.16
West,Los Angeles,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,21,22.99,16.57,482.79,347.97,134.82
West,Los Angeles,Home & Kitchen,Throw Blanket,2025-08-01,15,29.99,19.94,449.85,299.1,150.75
West,Los Angeles,Sports & Outdoors,Camping Tent,2025-08-01,12,129.99,73.78,1559.88,885.36,674.52
West,Los Angeles,Sports & Outdoors,Hiking Backpack,2025-08-01,20,74.99,40.24,1499.8,804.8,695.0
West,Los Angeles,Sports & Outdoors,Resistance Bands,2025-08-01,15,19.99,9.56,299.85,143.4,156.45
West,Los Angeles,Sports & Outdoors,Water Bottle,2025-08-01,11,16.99,8.58,186.89,94.38,92.51
West,Los Angeles,Sports & Outdoors,Yoga Mat,2025-08-01,21,24.99,12.8,524.79,268.8,255.99
West,Seattle,Apparel,Denim Jacket,2025-08-01,14,69.99,33.59,979.86,470.26,509.6
West,Seattle,Apparel,Men's T-Shirt,2025-08-01,18,19.99,9.23,359.82,166.14,193.68
West,Seattle,Apparel,Running Shoes,2025-08-01,17,79.99,40.0,1359.83,680.0,679.83
West,Seattle,Apparel,Women's Leggings,2025-08-01,14,34.99,14.37,489.86,201.18,288.68
West,Seattle,Apparel,Wool Sweater,2025-08-01,17,54.99,24.27,934.83,412.59,522.24
West,Seattle,Beauty & Personal Care,Electric Toothbrush,2025-08-01,10,44.99,20.52,449.9,205.2,244.7
West,Seattle,Beauty & Personal Care,Facial Cleanser,2025-08-01,13,14.99,5.65,194.87,73.45,121.42
West,Seattle,Beauty & Personal Care,Hair Dryer,2025-08-01,18,39.99,16.47,719.82,296.46,423.36
West,Seattle,Beauty & Personal Care,Moisturizer,2025-08-01,22,18.99,7.52,417.78,165.44,252.34
West,Seattle,Beauty & Personal Care,Perfume Set,2025-08-01,13,42.99,16.11,558.87,209.43,349.44
West,Seattle,Electronics,Bluetooth Speaker,2025-08-01,22,44.99,27.62,989.78,607.64,382.14
West,Seattle,Electronics,Portable Charger,2025-08-01,14,34.99,22.52,489.86,315.28,174.58
West,Seattle,Electronics,Smartwatch,2025-08-01,14,119.99,81.71,1679.86,1143.94,535.92
West,Seattle,Electronics,Tablet Stand,2025-08-01,13,24.99,15.13,324.87,196.69,128.18
West,Seattle,Electronics,Wireless Earbuds,2025-08-01,23,59.99,39.47,1379.77,907.81,471.96
West,Seattle,Home & Kitchen,Coffee Maker,2025-08-01,19,49.99,36.8,949.81,699.2,250.61
West,Seattle,Home & Kitchen,LED Desk Lamp,2025-08-01,14,27.99,20.01,391.86,280.14,111.72
West,Seattle,Home & Kitchen,Non-Stick Pan Set,2025-08-01,17,64.99,46.52,1104.83,790.84,313.99
West,Seattle,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,11,22.99,16.55,252.89,182.05,70.84
West,Seattle,Home & Kitchen,Throw Blanket,2025-08-01,13,29.99,20.76,389.87,269.88,119.99
West,Seattle,Sports & Outdoors,Camping Tent,2025-08-01,12,129.99,75.43,1559.88,905.16,654.72
West,Seattle,Sports & Outdoors,Hiking Backpack,2025-08-01,29,74.99,40.45,2174.71,1173.05,1001.66
West,Seattle,Sports & Outdoors,Resistance Bands,2025-08-01,16,19.99,9.7,319.84,155.2,164.64
West,Seattle,Sports & Outdoors,Water Bottle,2025-08-01,12,16.99,8.66,203.88,103.92,99.96
West,Seattle,Sports & Outdoors,Yoga Mat,2025-08-01,24,24.99,13.03,599.76,312.72,287.04
Midwest,Chicago,Apparel,Denim Jacket,2025-09-01,8,69.99,33.63,559.92,269.04,290.88
Midwest,Chicago,Apparel,Men's T-Shirt,2025-09-01,17,19.99,9.09,339.83,154.53,185.3
Midwest,Chicago,Apparel,Running Shoes,2025-09-01,11,79.99,39.88,879.89,438.68,441.21
Midwest,Chicago,Apparel,Women's Leggings,2025-09-01,12,34.99,14.33,419.88,171.96,247.92
Midwest,Chicago,Apparel,Wool Sweater,2025-09-01,21,54.99,24.18,1154.79,507.78,647.01
Midwest,Chicago,Beauty & Personal Care,Electric Toothbrush,2025-09-01,17,44.99,19.96,764.83,339.32,425.51
Midwest,Chicago,Beauty & Personal Care,Facial Cleanser,2025-09-01,19,14.99,5.61,284.81,106.59,178.22
Midwest,Chicago,Beauty & Personal Care,Hair Dryer,2025-09-01,16,39.99,17.09,639.84,273.44,366.4
Midwest,Chicago,Beauty & Personal Care,Moisturizer,2025-09-01,18,18.99,7.62,341.82,137.16,204.66
Midwest,Chicago,Beauty & Personal Care,Perfume Set,2025-09-01,18,42.99,16.01,773.82,288.18,485.64
Midwest,Chicago,Electronics,Bluetooth Speaker,2025-09-01,14,44.99,27.13,629.86,379.82,250.04
Midwest,Chicago,Electronics,Portable Charger,2025-09-01,21,34.99,22.06,734.79,463.26,271.53
Midwest,Chicago,Electronics,Smartwatch,2025-09-01,21,119.99,80.65,2519.79,1693.65,826.14
Midwest,Chicago,Electronics,Tablet Stand,2025-09-01,19,24.99,14.69,474.81,279.11,195.7
Midwest,Chicago,Electronics,Wireless Earbuds,2025-09-01,26,59.99,39.91,1559.74,1037.66,522.08
Midwest,Chicago,Home & Kitchen,Coffee Maker,2025-09-01,20,49.99,35.85,999.8,717.0,282.8
Midwest,Chicago,Home & Kitchen,LED Desk Lamp,2025-09-01,7,27.99,19.47,195.93,136.29,59.64
Midwest,Chicago,Home & Kitchen,Non-Stick Pan Set,2025-09-01,18,64.99,45.85,1169.82,825.3,344.52
Midwest,Chicago,Home & Kitchen,Storage Bins (Set of 3),2025-09-01,11,22.99,17.16,252.89,188.76,64.13
Midwest,Chicago,Home & Kitchen,Throw Blanket,2025-09-01,17,29.99,19.85,509.83,337.45,172.38
Midwest,Chicago,Sports & Outdoors,Camping Tent,2025-09-01,14,129.99,75.69,1819.86,1059.66,760.2
Midwest,Chicago,Sports & Outdoors,Hiking Backpack,2025-09-01,20,74.99,40.89,1499.8,817.8,682.0
Midwest,Chicago,Sports & Outdoors,Resistance Bands,2025-09-01,22,19.99,9.35,439.78,205.7,234.08
Midwest,Chicago,Sports & Outdoors,Water Bottle,2025-09-01,17,16.99,8.73,288.83,148.41,140.42
Midwest,Chicago,Sports & Outdoors,Yoga Mat,2025-09-01,17,24.99,13.3,424.83,226.1,198.73
Northeast,Boston,Apparel,Denim Jacket,2025-09-01,30,69.99,33.35,2099.7,1000.5,1099.2
Northeast,Boston,Apparel,Men's T-Shirt,2025-09-01,21,19.99,9.08,419.79,190.68,229.11
Northeast,Boston,Apparel,Running Shoes,2025-09-01,17,79.99,39.44,1359.83,670.48,689.35
Northeast,Boston,Apparel,Women's Leggings,2025-09-01,21,34.99,14.87,734.79,312.27,422.52
Northeast,Boston,Apparel,Wool Sweater,2025-09-01,16,54.99,24.63,879.84,394.08,485.76
Northeast,Boston,Beauty & Personal Care,Electric Toothbrush,2025-09-01,17,44.99,20.49,764.83,348.33,416.5
Northeast,Boston,Beauty & Personal Care,Facial Cleanser,2025-09-01,19,14.99,5.58,284.81,106.02,178.79
Northeast,Boston,Beauty & Personal Care,Hair Dryer,2025-09-01,9,39.99,16.51,359.91,148.59,211.32
Northeast,Boston,Beauty & Personal Care,Moisturizer,2025-09-01,19,18.99,7.76,360.81,147.44,213.37
Northeast,Boston,Beauty & Personal Care,Perfume Set,2025-09-01,13,42.99,15.57,558.87,202.41,356.46
Northeast,Boston,Electronics,Bluetooth Speaker,2025-09-01,24,44.99,28.57,1079.76,685.68,394.08
Northeast,Boston,Electronics,Portable Charger,2025-09-01,19,34.99,23.06,664.81,438.14,226.67
Northeast,Boston,Electronics,Smartwatch,2025-09-01,15,119.99,82.35,1799.85,1235.25,564.6
Northeast,Boston,Electronics,Tablet Stand,2025-09-01,26,24.99,14.6,649.74,379.6,270.14
Northeast,Boston,Electronics,Wireless Earbuds,2025-09-01,9,59.99,40.01,539.91,360.09,179.82
Northeast,Boston,Home & Kitchen,Coffee Maker,2025-09-01,20,49.99,36.16,999.8,723.2,276.6
Northeast,Boston,Home & Kitchen,LED Desk Lamp,2025-09-01,23,27.99,20.22,643.77,465.06,178.71
Northeast,Boston,Home & Kitchen,Non-Stick Pan Set,2025-09-01,21,64.99,44.84,1364.79,941.64,423.15
Northeast,Boston,Home & Kitchen,Storage Bins (Set of 3),2025-09-01,28,22.99,16.6,643.72,464.8,178.92
Northeast,Boston,Home & Kitchen,Throw Blanket,2025-09-01,15,29.99,20.83,449.85,312.45,137.4
Northeast,Boston,Sports & Outdoors,Camping Tent,2025-09-01,20,129.99,74.82,2599.8,1496.4,1103.4
Northeast,Boston,Sports & Outdoors,Hiking Backpack,2025-09-01,9,74.99,42.44,674.91,381.96,292.95
Northeast,Boston,Sports & Outdoors,Resistance Bands,2025-09-01,8,19.99,9.61,159.92,76.88,83.04
Northeast,Boston,Sports & Outdoors,Water Bottle,2025-09-01,20,16.99,8.39,339.8,167.8,172.0
Northeast,Boston,Sports & Outdoors,Yoga Mat,2025-09-01,20,24.99,13.02,499.8,260.4,239.4
Northeast,New York,Apparel,Denim Jacket,2025-09-01,8,69.99,34.49,559.92,275.92,284.0
Northeast,New York,Apparel,Men's T-Shirt,2025-09-01,13,19.99,8.95,259.87,116.35,143.52
